65.03.18.2005                                                                          5 Pa' Kebuan                                Semula wil Kec. Krayan, Perda No. 12/2015
65.03.18.2006                                                                          6 Pa' Umung                                 Semula wil Kec. Krayan, Perda No. 12/2015
65.03.18.2007                                                                          7 Pa' Rangeb                                Semula wil Kec. Krayan, Perda No. 12/2015
65.03.18.2008                                                                          8 Long Umung                                Semula wil Kec. Krayan, Perda No. 12/2015
65.03.18.2009                                                                          9 Long Tenem                                Semula wil Kec. Krayan, Perda No. 12/2015
65.03.18.2010                                                                         10 Long Nuat                                 Semula wil Kec. Krayan, Perda No. 12/2015
65.03.18.2011                                                                         11 Pa' Pala                                  Semula wil Kec. Krayan, Perda No. 12/2015
65.03.18.2012                                                                              12 Sinar Baru                                 Semula wil Kec. Krayan, Perda No. 12/2015
65.03.18.2013                                                                              13 Pa' Lidung                                 Semula wil Kec. Krayan, Perda No. 12/2015
65.03.18.2014                                                                              14 Pa' Raye                                   Semula wil Kec. Krayan, Perda No. 12/2015
65.03.18.2015                                                                              15 Bungayan                                   Semula wil Kec. Krayan, Perda No. 12/2015
65.03.18.2016                                                                              16 Wa' Yagung                                 Semula wil Kec. Krayan, Perda No. 12/2015
65.03.18.2017                                                                              17 Kampung Baru                               Semula wil Kec. Krayan, Perda No. 12/2015
65.03.19.2001                                                                               1 Pa' Mulak                                  Semula wil Kec. Krayan, Perda No. 12/2015
65.03.19.2002                                                                               2 Long Puak                                  Semula wil Kec. Krayan, Perda No. 12/2015
65.03.19.2003                                                                               3 Long Mangan                                Semula wil Kec. Krayan, Perda No. 12/2015
65.03.19.2004                                                                               4 Buduk Kubul                                Semula wil Kec. Krayan, Perda No. 12/2015
65.03.19.2005                                                                               5 Long Kabid                                 Semula wil Kec. Krayan, Perda No. 12/2015
